,level_0,영업상태명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),시도,지역구,상세주소,검색여부
59,91,영업/정상,서울특별시 강남구 신사동 642-17,"서울특별시 강남구 압구정로48길 36, 3층 (신사동)",아이언케이스,중국식,203185.60544924,447103.404977167,서울특별시,강남구,"압구정로48길36,",가능
60,92,영업/정상,서울특별시 강남구 신사동 505-7,"서울특별시 강남구 압구정로2길 6, 지하1층 (신사동)",이목 스모크다이닝,경양식,201621.76711437,446540.474919442,서울특별시,강남구,"압구정로2길6,",가능
61,93,영업/정상,서울특별시 강남구 신사동 655-4,"서울특별시 강남구 선릉로155길 13, 지상2층 (신사동)",느린마을양조장 압구정로데오점,한식,203340.296112796,447012.653659741,서울특별시,강남구,"선릉로155길13,",가능
62,96,영업/정상,서울특별시 강남구 신사동 636-20,"서울특별시 강남구 압구정로42길 24-5, 지상3층 (신사동)",진스토랑(Jin's torang),한식,202984.7530757,447224.219814083,서울특별시,강남구,"압구정로42길24-5,",가능
63,97,영업/정상,서울특별시 강남구 일원동 682-7,"서울특별시 강남구 양재대로33길 25, 지상1층 4호 (일원동)",영희탕후루,기타,207219.931828203,443213.487247235,서울특별시,강남구,"양재대로33길25,",가능
64,98,영업/정상,서울특별시 강남구 대치동 915-21,"서울특별시 강남구 삼성로67길 22, 1층 103호 (대치동)",호시타코야끼 대치점,일식,205028.499658582,444293.982213308,서울특별시,강남구,"삼성로67길22,",가능
65,99,영업/정상,서울특별시 강남구 청담동 22-4 베리굿빌딩,"서울특별시 강남구 선릉로148길 14, 베리굿빌딩 지상2층 (청담동)",에그앤플라워,경양식,203534.369724048,446694.823252441,서울특별시,강남구,"선릉로148길14,",가능
66,101,영업/정상,서울특별시 강남구 신사동 583-3 제이비 미소 빌딩,"서울특별시 강남구 논현로 841, 제이비 미소 빌딩 지상1층 106호 (신사동)",바르다김선생 압구정역점,분식,202398.022535049,446869.307086395,서울특별시,강남구,"논현로841,",가능
67,103,영업/정상,서울특별시 강남구 도곡동 412-8,"서울특별시 강남구 논현로36길 19, 지상1층 (도곡동)",모티에(MOTIE),한식,203763.966966523,442544.416548171,서울특별시,강남구,"논현로36길19,",가능
68,104,영업/정상,서울특별시 강남구 일원동 628-6,"서울특별시 강남구 개포로128길 33, 지상1층 104호 (일원동)",솔트 플러스 39(Salt Plus 39),기타,207378.864717056,443440.08288616,서울특별시,강남구,"개포로128길33,",가능
69,105,영업/정상,서울특별시 강남구 대치동 626 청실종합상가,"서울특별시 강남구 남부순환로 2917, 청실종합상가 지하1층 31호,32호 (대치동)",청담 수,한식,205154.638096613,443439.981644506,서울특별시,강남구,"남부순환로2917,",가능
70,106,영업/정상,서울특별시 강남구 역삼동 605-17,"서울특별시 강남구 봉은사로 170, 지상1층 101호 (역삼동)",타이거꼬마김밥(언주역점),분식,202828.846096886,444942.656109277,서울특별시,강남구,"봉은사로170,",가능
